Introduction	序章
"Creatures of Bog And Spirits of Fog: Return the true form To this rather dumb Frog."  	「沼澤生物與霧靈：把真實的形態還給這隻相當笨的青蛙。」
"Now, did you put it in your backpack?"	「那，你把它放進背包裡了嗎？」
You try your best to croak out your name, or at least let the witch know that you do indeed have one.	你盡力用呱呱聲說出你的名字，至少要讓女巫知道你確實有個名字。
As you make a feeble croaking sound, you try to nod your head.	當你發出微弱的呱呱聲時，你試著點了點頭。
"Ah...that's it! Frog Legs Fricassee."  	「啊…那就是了！炸青蛙腿。」
Once again you're a frog, and once again you can't move.  You find it very exasperating!	你再次變成了青蛙，再次動不了。你覺得這很惱人！
Your body is frozen by the power of the witch's spell.	你的身體被女巫的咒語凍住了。
The witch is hopping mad.	女巫氣得跳腳。
"Lovies, it's about time we dine."	「親愛的們，該吃飯了。」
"Kids!  We have it!"	「孩子！我們拿到了！」
"That's it!  The final ingredient.  Now we can make our greatest creation..."	「就是它！最後的材料。現在我們可以製作最偉大的創作…」
"MANDRAKE MOUSSE!"	「曼陀羅慕斯！」
"What's that, children?  You think we should reward our lackey here?"	「怎麼了，孩子？你們認為我們應該獎勵這小嘍囉？」
"Very well, ex-frog.  I'll let you live this time.  Next time, though, it's frog legs for sure!"	「很好，前青蛙。這次我饒了你。不過下次，一定是青蛙腿！」
"So... Go!" 	「所以…滾！」
"Stubborn, aren't you?"	「你很固執呢？」
Now, Oh-Soon-To-Be-Supper... I don't suppose you have a name?  	現在，唉呀就要變晚餐啦…我猜你沒有名字？
"Well, if you won't be a sweet, then you'll be my meat!"	「好吧，如果你不乖，就變成我的肉！」
"This I vow: Stay there now!"  	「這是我發誓的：現在待著！」
Who would have guessed that little chicken hut would have this much room in it. 	誰會猜到那個小雞腳小屋裡面會有這麼大的空間。
You make a note to yourself to get the name of Baba Yaga's interior decorator. 	你在心裡記下要去問芭芭雅嘎的室內設計師的名字。
The floor is tidy, with a pile of straw off the screen in one corner. 	地板很整潔，角落裡有堆稻草在螢幕外。
A quick look around shows that this is a creepy place, despite the pot -- or is it a cauldron? -- simmering briskly on the fire.  Look at the size of that spider!  	快速掃一眼就知道這是個詭異的地方，儘管鍋子——或者說是大鍋？——在火上咕嘟咕嘟地煮著。看看那隻蜘蛛的大小！
The grisly remains of some man-like animal. 	某種人形生物的可怕遺骨。
Owning this skull helps Baba Yaga keep a head of the game.	擁有這骷髏幫助芭芭雅嘎走在遊戲的前面。
Is that a SMILE on that spider's face?	那隻蜘蛛的臉上有微笑嗎？
You can almost read the spider's thoughts:  "Yes!  Yes!  Get your hand over here so I can eat!" 	你幾乎可以讀出蜘蛛的想法：「是的！是的！把你的手放過來我才能吃！」
Step into my parlor! 	踏進我的起居室吧！
The kitchen knives on the table look old but sharp.  You can't quite make out what is in the bottles.  	桌上的廚房刀看起來又舊又銳。你看不太清楚瓶子裡裝著什麼。
Isn't that a telephone wire insulator? 	那不是電話線絕緣體嗎？
You HATE houses with cobwebs in the corners, especially when there's an immense (and hungry-looking) spider squatting cheerily in the middle of the cobweb.  	你討厭角落有蜘蛛網的房子，特別是當有隻巨大的（且看起來很餓的）蜘蛛高興地蹲在蜘蛛網中央的時候。
You have to get there, first.	你必須先到達那裡。
You have second thoughts, and you decide not to attempt such a potentially dangerous excursion.	你改變了主意，決定不嘗試這樣可能很危險的遠征。
What's to climb?	有什麼好爬的？
Those are the biggest chicken legs you've ever seen.	那是你見過最大的雞腿。
The green slime dripping off of the fence top makes you realize that climbing is not a good idea.	從柵欄頂端滴下來的綠色粘液讓你意識到攀爬不是個好主意。
The sharp ends of the fence are covered with some nasty-looking green slime.	柵欄的尖端被一些令人厭惡的綠色粘液覆蓋。
This stuff reminds you of the slime eating the barstool away at the tavern.	這東西讓你想起在酒館裡吃掉酒吧凳子的那些粘液。
Of course, most fences aren't poisoned on top!	當然，大多數的柵欄頂端都不會有毒！
You've seen one, you've seen them all, I say.	我說，你看過一個，就等於看過所有的。
"Baba Yaga is the most powerful Ogress around.  If you have any brains, you'll stay away from her."	「芭芭雅嘎是這一帶最強大的女食人妖。如果你有腦子，就別靠近她。」
"All the other skulls have glowing eyes.  But me?... noooo!  I don't need lovely glowing eyes!  Just open and close the gate, that's all I'm good for."	「所有其他的骷髏都有發光的眼睛。但我？…不要！我不需要漂亮的發光眼睛！只要開關門，這就是我唯一的用處。」
"But if you can give me a glowing gem for my eyes, then I'll let you in the gate."	「但如果你能給我個發光的寶石當眼睛，我就放你進門。」
"All I ask is for a little gem or jewel that glows in the dark. You're the big hero, so go find one!"	「我要的就是在黑暗中發光的小寶石或珠寶。你是大英雄，去找一個吧！」
"Baba Yaga's hut will squat if you say the rhyme."	「如果你說出那句韻文，芭芭雅嘎的小屋就會蹲下。」
"You're some hero if you don't even know what an ogre is."	「你要是連食人妖是什麼都不知道，就太不像英雄了。」
"The hut will squat if you say, 'Hut of brown, Now sit down.'"	「如果你說『棕色的小屋，現在坐下』，小屋就會蹲下。」
"Those bone brains are Baba Yaga's spies, so they get glowing eyes."	「那些骨頭腦子是芭芭雅嘎的間諜，所以他們有發光的眼睛。」
Right!	沒錯！
"I won't let you in until I get a gem so I can see!"	「在我得到寶石能看見之前，我不會放你進去！」
"I don't need the fur.  I think the 'bald look' gives me a certain distinction, don't you?"	「我不需要毛髮。我覺得『禿頭造型』給了我某種風格，你說對不？」
The gate's gone.	門消失了。
The eyes of the large skull on the gate flash merrily away at you.	門上大骷髏的眼睛朝你閃閃發光。
The large skull on the gate seems to stare vacantly at you.	門上的大骷髏似乎茫茫然地盯著你。
This place already looks like a nightmare.  Eating magic mushrooms would likely make it even worse.	這個地方看起來已經像噩夢了。吃魔法蘑菇可能會讓它更糟。
"Oh, the rhyme.  Yeah, you're right, that was part of the deal.  O.k., the rhyme is 'Hut of Brown, Now Sit Down'."	「哦，韻文。是啊，你說得對，那是協議的一部分。好吧，韻文是『棕色小屋，現在坐下』。」
Baba Yaga	芭芭雅嘎
Deal	協議
Gem	寶石
Hut	小屋
Ogress	女食人妖
Rhyme	韻文
Skulls	骷髏
The door is open, but hardly inviting.	門是開著的，但不太吸引人。
The door of the hut is ornately decorated.	小屋的門裝飾得很華麗。
The hut is a strange little house perched on chicken legs.	這是個奇怪的小房子，站在雞腳上。
The hut does not respond while the gate is closed. 	當門關著時，小屋沒有反應。
Nothing happens.	什麼都沒發生。
You hear a voice in your head asking, 'What is the rhyme?'	你聽到腦子裡傳來的聲音問著，『韻文是什麼？』
Looking around, you get the feeling that this is not a very friendly place to be.	四周張望，你感覺這不是個很友善的地方。
You place the glowing gem inside the skull.	你把發光的寶石放進骷髏裡。
"I can see!  I have eyes again!!"	「我能看見了！我又有眼睛了！」
"Yeccchhh! Is THAT what you look like???" 	「哎呀！你看起來就是這樣？」
"Oh well!  Have fun visiting Baba Yaga.  And good luck....you'll need it!"	「好吧！祝訪問芭芭雅嘎愉快。祝你好運…你會需要的！」
There goes Baba Yaga.  Now you've REALLY made her soar!	芭芭雅嘎走了。現在你真的讓她飆起來了！
"So you made it back, did you?  She is expecting you."	「所以你回來了？她在等你。」
What an awful creature, to turn me into a FROG!, you say to yourself. Someday, I must return the favor.	多麼可怕的生物，竟然把我變成青蛙！你心想。有一天，我一定要報這個仇。
You tell a rhyme about:  	你講了個關於下列的韻文：
Beauty	美麗
The alien From Venus	來自金星的外星人
Hut of Brown	棕色小屋
Well, is it a deal or isn't it?	好，這是協議還是不是？
I'm not sure	我不確定
Yes	是的
No	不是
"Did you bring me my glowing gem?"  	「你給我帶發光的寶石了嗎？」
"All I ask for is a little gem or jewel that glows in the dark. You're the big hero, so go find one."	「我只要一個在黑暗中閃閃發光的寶石或珠寶。你是大英雄，所以去找一個吧。」
"Fine.  Be that way!"	「好吧。隨便你！」
"No gem, no entry.  That's the deal."	「沒有寶石就不能進去。這是交易。」
"You again??  Do you really want to go back in there?"	「又是你？？你真的想再進去嗎？」
